2017-34-26 04:34:11 [main] INFO  circus.of.plates.model.LevelFive - game started, enjoy
2017-34-26 04:34:12 [main] INFO  circus.of.plates.controller.Game - intializting level
2017-34-26 04:34:12 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - intializting level
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - intializting level
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
2017-34-26 04:34:20 [AWT-EventQueue-0] INFO  circus.of.plates.controller.Game - game paused!
